"","STU_ID","Attrition_Y_N","Grades","MAP.Score","Number_Absent","Number_Disc_Incidents","days_enrolled","weeks_enrolled","months_enrolled","years_enrolled","Miles_Distance_House_School"
"3453",4212,0,0,71.5,4,1,345,49.29,11,0.95,3.99811724
"3454",4213,0,0,15.5,12,1,345,49.29,11,0.95,3.572981961
"3455",4214,0,0,14,6,1,345,49.29,11,0.95,5.505067152
"3456",4215,0,86.5,71,0,1,345,49.29,11,0.95,2.826118906
"3457",4216,1,0,71,0,1,77,11,3,0.21,5.567215547
"3458",4217,1,87.2,41.75,0,1,67,9.57,2,0.18,6.426154942
"3459",4218,0,0,41.75,0,1,345,49.29,11,0.95,5.658998108
"3460",4219,0,0,41.75,0,1,345,49.29,11,0.95,5.279380426
"3461",4220,0,83.6,36.75,4,1,345,49.29,11,0.95,2.518895257
"3462",4221,1,0,36.75,0,1,69,9.86,2,0.19,5.839740555
"3463",4222,0,87.8,60.75,1,1,345,49.29,11,0.95,3.064959792
"3464",4223,0,0,60.75,0,1,345,49.29,11,0.95,4.705729149
"3465",4224,0,85.6,49.75,2,1,345,49.29,11,0.95,1.036882847
"3466",4225,0,93.7,74.75,1,1,345,49.29,11,0.95,1.789935026
"3467",4226,0,0,37,18,1,345,49.29,11,0.95,4.48715639
"3468",4227,0,0,53,32,1,345,49.29,11,0.95,6.099501361
"3469",4228,0,0,53,0,1,345,49.29,11,0.95,4.749893234
"3470",4229,1,0,53,1,1,74,10.57,2,0.2,5.336949099
"3471",4230,0,81,41.75,3,1,345,49.29,11,0.95,2.273595449
"3472",4231,0,91.6,73.25,2,1,345,49.29,11,0.95,2.273595449
"3473",4232,0,89.8,34.75,19,1,345,49.29,11,0.95,1.59533791
"3474",4233,0,73.4,15.5,61,1,345,49.29,11,0.95,2.800316943
"3475",4234,0,94,82.75,17,1,345,49.29,11,0.95,5.398791959
"3476",4235,0,0,82.75,0,1,345,49.29,11,0.95,5.756054314
"3477",4236,0,0,61.5,23,1,345,49.29,11,0.95,6.855472443
"3478",4237,0,0,20,24,1,345,49.29,11,0.95,4.864225315
"3479",4238,0,0,32.5,10,1,345,49.29,11,0.95,4.979024821
"3480",4239,0,0,53,68,1,345,49.29,11,0.95,6.661507393
"3481",4240,0,0,81,1,1,345,49.29,11,0.95,4.641878433
"3482",4241,0,86.5,66.5,38,1,345,49.29,11,0.95,2.024644903
"3483",4242,0,88,45.75,0,1,345,49.29,11,0.95,3.323303664
"3484",4243,0,82.1,24.75,0,1,345,49.29,11,0.95,2.139912913
"3485",4244,0,76.7,19.25,44,1,345,49.29,11,0.95,5.428371363
"3486",4245,0,92.2,63.75,1,1,345,49.29,11,0.95,4.77110299
"3487",4246,0,87.6,60.25,37,1,345,49.29,11,0.95,1.86713924
